,CITY,STATE,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA
3782,Pilão Arcado,BA,8218.0,2771.0,11011.0,6444.0,0.506,-42.48475676,-9.997771056,208213.37,5850.33
3783,Pilar,AL,8847.0,8451.0,31759.0,19447.0,0.61,-35.94851752,-9.606894293,421360.38,11893.43
3784,Pilar,PB,3178.0,2202.0,7673.0,4656.0,0.579,-35.25988041,-7.259887985,85.93,7243.53
3787,Pilões,RN,960.0,714.0,2533.0,1632.0,0.614,-38.04444316,-6.26572244,32832.27,8642.35
3788,Pilões,PB,1727.0,898.0,3319.0,1993.0,0.56,-35.61554059,-6.869220528,60.25,9036.88
3789,Pilõezinhos,PB,1433.0,828.0,2744.0,1643.0,0.564,-35.5305857,-6.840568783,43169.56,8466.28
3790,Pimenta,MG,2722.0,2289.0,6879.0,4661.0,0.69,-45.79908703,-20.48319539,181.88,20934.29
3791,Pimenta Bueno,RO,10012.0,8758.0,29200.0,19514.0,0.71,-61.18366567,-11.67753699,1001086.48,26493.58
3792,Pimenteiras,PI,3191.0,1345.0,4766.0,2874.0,0.57,-41.41515861,-6.24168841,73024.97,6123.69
3794,Pindaí,BA,4169.0,1245.0,4314.0,2712.0,0.603,-42.68703332,-14.48998754,167047.1,9914.36
3795,Pindamonhangaba,SP,43047.0,41483.0,140786.0,94193.0,0.773,-45.46204885,-22.92666873,6708.74,41328.58
3796,Pindaré-Mirim,MA,7764.0,5665.0,21715.0,12693.0,0.633,-45.34686792,-3.605500575,315.86,9764.54
3797,Pindoba,AL,762.0,450.0,1619.0,1013.0,0.574,-36.28654064,-9.4762108,29401.68,9953.17
3798,Pindobaçu,BA,6109.0,3355.0,11203.0,6747.0,0.58,-40.35715919,-10.73420661,122272.51,5770.02
3799,Pindorama,SP,4814.0,4571.0,14030.0,9226.0,0.737,-48.90563754,-21.18598849,305689.47,18525.51
3801,Pindoretama,CE,5365.0,3280.0,11211.0,7161.0,0.636,-38.30008798,-4.027803993,207.38,10150.57
3804,Pinhal,RS,818.0,439.0,1290.0,855.0,0.72,-53.21470618,-27.51167424,71111.28,27214.42
3807,Pinhal Grande,RS,1396.0,637.0,1893.0,1183.0,0.68,-53.33863834,-29.33536013,411663.49,90435.74
